video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
36865,697,"Octocorallia - Gorgonacea stet.","VME gorgonian corals > Octocorallia - Gorgonacea stet.",1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[1847.68,430.55]]",[494.638433],36874,"2025-03-24 10:19:00","{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}"
36867,601,"Munida stet.","Fauna > Crustacea stet. > Munida stet.",1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[1622.01,443.28]]",[494.993173],36876,"2025-03-24 10:19:44","{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}"
36868,601,"Munida stet.","Fauna > Crustacea stet. > Munida stet.",1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[231.16,643.5]]",[497.086616],36877,"2025-03-24 10:20:44","{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}"
36869,482,"Isidella stet.","VME gorgonian corals > Isidella stet.",1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[802.37,738.59]]",[497.086616],36878,"2025-03-24 10:27:53","{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}"
36870,469,"mucus undeterminable","VME species mucus production > mucus undeterminable",1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[819.11,713.81]]",[497.086616],36879,"2025-03-24 10:27:57","{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}"
36871,468,"polyps undeterminable","VME coral species polyp behaviour > polyps undeterminable",1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[801.7,710.46]]",[497.086616],36880,"2025-03-24 10:28:01","{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}"
36872,565,G-undeterminable,"Health indicators Gorgonians > G-undeterminable",1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[795.67,692.38]]",[497.086616],36881,"2025-03-24 10:28:05","{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}"
36873,328,"associated caridea stet.","Corals associated fauna > associated caridea stet.",1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[809.73,670.96]]",[497.086616],36882,"2025-03-24 10:28:13","{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}"
36874,710,"Caridea stet.","Fauna > Crustacea stet. > Caridea stet.",1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[798.35,652.87]]",[497.086616],36883,"2025-03-24 10:28:17","{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}"
36875,601,"Munida stet.","Fauna > Crustacea stet. > Munida stet.",1,Birte,Schuppe,54,anevik_1_12_b.mp4,1,Point,"[[659.06,721.85]]",[497.086616],36884,"2025-03-24 10:28:23","{""mimetype"":""video\/mp4"",""size"":1321108849,""width"":1920,""height"":1080}"
