video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes,frame_new
30595,469,mucus undeterminable,VME species mucus production > mucus undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[314.87,581.22]]",[381.965044],30604,2025-02-17T14:06:59Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",381.965044
30596,468,polyps undeterminable,VME coral species polyp behaviour > polyps undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[297.46,565.15]]",[381.965044],30605,2025-02-17T14:07:05Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",381.965044
30597,564,S-undeterminable,Health indicators Scleractinians > S-undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[274.02,581.89]]",[381.965044],30606,2025-02-17T14:07:11Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",381.965044
30620,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[914.87,353.54]]",[384.203079],30629,2025-02-17T14:26:36Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",384.203079
30621,579,Porifera massive,VME sponge > VME Porifera massive > Porifera massive,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1127.81,411.8]]",[384.203079],30630,2025-02-17T14:26:55Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",384.203079
30628,362,near-vertical,Slope category > near-vertical,1,Birte,Schuppe,55,anevik_1_11.mp4,7,WholeFrame,[],[390.088229],30637,2025-02-17T14:30:13Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",390.088229
30629,307,Exposed bedrock,Substrate > Exposed bedrock,1,Birte,Schuppe,55,anevik_1_11.mp4,7,WholeFrame,[],[390.088229],30638,2025-02-17T14:30:27Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",390.088229
30630,471,Living D.pertusum framework,Substrate > Living D.pertusum framework,1,Birte,Schuppe,55,anevik_1_11.mp4,7,WholeFrame,[],[390.088229],30639,2025-02-17T14:30:31Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",390.088229
30631,470,Dead D.pertusum framework,Substrate > Dead D.pertusum framework,1,Birte,Schuppe,55,anevik_1_11.mp4,7,WholeFrame,[],[390.088229],30640,2025-02-17T14:30:35Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",390.088229
30632,322,Laser points,Laser points,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[810.4,869.84]]",[390.088229],30641,2025-02-17T14:30:41Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",390.088229
30633,322,Laser points,Laser points,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[819.78,846.4]]",[390.088229],30642,2025-02-17T14:30:42Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",390.088229
30638,685,Pisces,Fauna > Pisces,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1678.26,305.33]]",[391.497705],30647,2025-02-17T14:50:09Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",391.497705
30622,474,Desmophyllum pertusum,VME stony corals > Desmophyllum pertusum,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1320.67,427.2]]",[394.344256],30631,2025-02-17T14:27:54Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",394.344256
30623,469,mucus undeterminable,VME species mucus production > mucus undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1336.07,443.28]]",[394.344256],30632,2025-02-17T14:27:58Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",394.344256
30624,468,polyps undeterminable,VME coral species polyp behaviour > polyps undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1335.4,417.16]]",[394.344256],30633,2025-02-17T14:28:02Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",394.344256
30625,564,S-undeterminable,Health indicators Scleractinians > S-undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1362.86,432.56]]",[394.344256],30634,2025-02-17T14:28:06Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",394.344256
