datetime,videotime,lon,lat,depth,elapsed_seconds,LON2,LAT2,depth_interpolated,videotime_interpolated,xsmoothed,ysmoothed
2021-01-08T08:49:47Z,00:01:24,15.3110855,67.99092767,623.2,82,15.3110855,67.99092767,623.2,82,15.311117054928028,67.99091931131328
2021-01-08T08:49:48Z,NA,NA,NA,NA,NA,15.311087415,67.99092442,623.2,83,15.311119705025193,67.99091953484081
2021-01-08T08:49:49Z,00:01:25,15.31108933,67.99092117,623.2,84,15.31108933,67.99092117,623.2,84,15.311122402677045,67.99091979411412
2021-01-08T08:49:50Z,00:01:27,15.3111005,67.99091867,623.2,85,15.3111005,67.99091867,623.2,85,15.31112514421365,67.99092008926358
2021-01-08T08:49:51Z,NA,NA,NA,NA,NA,15.31111425,67.99091717,623.1,86,15.311127925965085,67.99092042041956
2021-01-08T08:49:52Z,00:01:31,15.311128,67.99091567,623,87,15.311128,67.99091567,623,87,15.31113074426143,67.99092078771243
2021-01-08T08:49:53Z,NA,NA,NA,NA,NA,15.311135499999999,67.99091558500001,622.9,88,15.311133595432754,67.99092119127259
2021-01-08T08:49:54Z,00:01:33,15.311143,67.9909155,622.8,89,15.311143,67.9909155,622.8,89,15.311136475809136,67.99092163123038
2021-01-08T08:49:55Z,NA,NA,NA,NA,NA,15.311147085,67.9909155,622.65,90,15.311139381579125,67.99092210754543
2021-01-08T08:49:56Z,00:01:35,15.31115117,67.9909155,622.5,91,15.31115117,67.9909155,622.5,91,15.311142308365172,67.99092261949414
2021-01-08T08:49:57Z,NA,NA,NA,NA,NA,15.311152750000002,67.990918165,622.35,92,15.311145251648224,67.9909231661822
2021-01-08T08:49:58Z,00:01:36,15.31115433,67.99092083,622.2,93,15.31115433,67.99092083,622.2,93,15.311148206909218,67.9909237467153
2021-01-08T08:49:59Z,NA,NA,NA,NA,NA,15.31115772,67.99092038666666,622.2,94,15.31115116962908,67.990924360199
2021-01-08T08:50:00Z,NA,NA,NA,NA,NA,15.31116111,67.99091994333334,622.2,95,15.311154135288747,67.99092500573904
2021-01-08T08:50:01Z,00:01:38,15.3111645,67.9909195,622.2,96,15.3111645,67.9909195,622.2,96,15.31115709936916,67.99092568244106
2021-01-08T08:50:02Z,00:01:40,15.311167,67.99091767,622.4,97,15.311167,67.99091767,622.4,97,15.311160057351254,67.99092638941072
2021-01-08T08:50:03Z,NA,NA,NA,NA,NA,15.3111705,67.990920335,622.3499999999999,98,15.311163004715958,67.99092712575367
2021-01-08T08:50:04Z,00:01:42,15.311174,67.990923,622.3,99,15.311174,67.990923,622.3,99,15.311165936944215,67.99092789057555
2021-01-08T08:50:05Z,NA,NA,NA,NA,NA,15.311176,67.990924,622.2,100,15.311168849516951,67.99092868298206
2021-01-08T08:50:06Z,00:01:44,15.311178,67.990925,622.1,101,15.311178,67.990925,622.1,101,15.311171738452366,67.99092950192893
2021-01-08T08:50:07Z,NA,NA,NA,NA,NA,15.311183085,67.99092808500001,621.95,102,15.311174601917669,67.9909303457723
2021-01-08T08:50:08Z,00:01:46,15.31118817,67.99093117,621.8,103,15.31118817,67.99093117,621.8,103,15.311177438617316,67.9909312127184
2021-01-08T08:50:09Z,NA,NA,NA,NA,NA,15.31119625,67.99093267,621.8499999999999,104,15.311180247255782,67.99093210097344
2021-01-08T08:50:10Z,00:01:48,15.31120433,67.99093417,621.9,105,15.31120433,67.99093417,621.9,105,15.311183026537522,67.99093300874368
2021-01-08T08:50:11Z,NA,NA,NA,NA,NA,15.31121075,67.99093458499999,622.05,106,15.311185775167003,67.99093393423537
2021-01-08T08:50:12Z,00:01:49,15.31121717,67.990935,622.2,107,15.31121717,67.990935,622.2,107,15.311188491848695,67.99093487565469
2021-01-08T08:50:13Z,NA,NA,NA,NA,NA,15.311224170000001,67.99093622333334,622.2666666666667,108,15.311191175287052,67.99093583120793
2021-01-08T08:50:14Z,NA,NA,NA,NA,NA,15.31123117,67.99093744666666,622.3333333333334,109,15.311193824186548,67.9909367991013
2021-01-08T08:50:15Z,00:01:51,15.31123817,67.99093867,622.4,110,15.31123817,67.99093867,622.4,110,15.311196437251642,67.99093777754099
2021-01-08T08:50:16Z,00:01:53,15.31124317,67.99093983,622.3,111,15.31124317,67.99093983,622.3,111,15.311199013186798,67.99093876473329
2021-01-08T08:50:17Z,NA,NA,NA,NA,NA,15.31123767,67.99093883,622.0999999999999,112,15.311201551836726,67.9909397588632
2021-01-08T08:50:18Z,00:01:57,15.31123217,67.99093783,621.9,113,15.31123217,67.99093783,621.9,113,15.311204057607114,67.99094075803087
2021-01-08T08:50:19Z,NA,NA,NA,NA,NA,15.31122675,67.99093891499999,621.9,114,15.311206536043894,67.99094176031527
2021-01-08T08:50:20Z,00:01:59,15.31122133,67.99094,621.9,115,15.31122133,67.99094,621.9,115,15.311208992693002,67.99094276379537
2021-01-08T08:50:21Z,NA,NA,NA,NA,NA,15.311217500000001,67.99094249999999,621.95,116,15.311211433100365,67.99094376655006
2021-01-08T08:50:22Z,00:02:01,15.31121367,67.990945,622,117,15.31121367,67.990945,622,117,15.311213862811925,67.99094476665836
2021-01-08T08:50:23Z,NA,NA,NA,NA,NA,15.3112125,67.99094725,622.15,118,15.311216287373604,67.99094576219916
2021-01-08T08:50:24Z,00:02:02,15.31121133,67.9909495,622.3,119,15.31121133,67.9909495,622.3,119,15.311218712331343,67.99094675125147
2021-01-08T08:50:25Z,NA,NA,NA,NA,NA,15.311208220000001,67.99095027666667,622.3666666666667,120,15.31122114323107,67.99094773189422
2021-01-08T08:50:26Z,NA,NA,NA,NA,NA,15.31120511,67.99095105333333,622.4333333333333,121,15.311223585618722,67.99094870220635
2021-01-08T08:50:27Z,00:02:04,15.311202,67.99095183,622.5,122,15.311202,67.99095183,622.5,122,15.311226045040225,67.99094966026684
2021-01-08T08:50:28Z,00:02:06,15.31120117,67.99095717,622.7,123,15.31120117,67.99095717,622.7,123,15.311228526332131,67.99095060434315
2021-01-08T08:50:29Z,NA,NA,NA,NA,NA,15.31120525,67.99095825,622.6500000000001,124,15.311231031493437,67.99095153345701
2021-01-08T08:50:30Z,00:02:08,15.31120933,67.99095933,622.6,125,15.31120933,67.99095933,622.6,125,15.311233561813754,67.9909524468186
2021-01-08T08:50:31Z,NA,NA,NA,NA,NA,15.311214249999999,67.990962415,622.6500000000001,126,15.311236118582697,67.99095334363818
2021-01-08T08:50:32Z,00:02:10,15.31121917,67.9909655,622.7,127,15.31121917,67.9909655,622.7,127,15.311238703089872,67.99095422312595
2021-01-08T08:50:33Z,NA,NA,NA,NA,NA,15.31122525,67.990964835,622.6,128,15.311241316624898,67.99095508449217
2021-01-08T08:50:34Z,00:02:12,15.31123133,67.99096417,622.5,129,15.31123133,67.99096417,622.5,129,15.31124396047738,67.99095592694705
2021-01-08T08:50:35Z,NA,NA,NA,NA,NA,15.311232165,67.99096474999999,622.65,130,15.311246635936934,67.99095674970084
2021-01-08T08:50:36Z,00:02:14,15.311233,67.99096533,622.8,131,15.311233,67.99096533,622.8,131,15.311249344293177,67.99095755196376
2021-01-08T08:50:37Z,NA,NA,NA,NA,NA,15.311239085,67.990964915,622.95,132,15.311252086835712,67.99095833294601
2021-01-08T08:50:38Z,00:02:15,15.31124517,67.9909645,623.1,133,15.31124517,67.9909645,623.1,133,15.311254864854153,67.99095909185785
2021-01-08T08:50:39Z,NA,NA,NA,NA,NA,15.311248836666666,67.99096561,623.1,134,15.311257679638114,67.99095982790949
2021-01-08T08:50:40Z,NA,NA,NA,NA,NA,15.311252503333334,67.99096672,623.1,135,15.31126053195852,67.99096054066749
2021-01-08T08:50:41Z,00:02:17,15.31125617,67.99096783,623.1,136,15.31125617,67.99096783,623.1,136,15.31126342051154,67.99096123112353
2021-01-08T08:50:42Z,00:02:19,15.3112625,67.9909675,622.9,137,15.3112625,67.9909675,622.9,137,15.311266343474664,67.99096190062576
2021-01-08T08:50:43Z,NA,NA,NA,NA,NA,15.311267834999999,67.99096833499999,622.8499999999999,138,15.311269299025367,67.99096255052211
2021-01-08T08:50:44Z,00:02:23,15.31127317,67.99096917,622.8,139,15.31127317,67.99096917,622.8,139,15.311272285341147,67.9909631821607
2021-01-08T08:50:45Z,NA,NA,NA,NA,NA,15.31128,67.99096975,622.7,140,15.311275300599478,67.99096379688955
2021-01-08T08:50:46Z,00:02:25,15.31128683,67.99097033,622.6,141,15.31128683,67.99097033,622.6,141,15.31127834297785,67.99096439605667
2021-01-08T08:50:47Z,NA,NA,NA,NA,NA,15.31129108,67.99096782999999,622.7,142,15.311281410653745,67.99096498101018
2021-01-08T08:50:48Z,00:02:27,15.31129533,67.99096533,622.8,143,15.31129533,67.99096533,622.8,143,15.311284501804652,67.99096555309806
2021-01-08T08:50:49Z,NA,NA,NA,NA,NA,15.311302914999999,67.990961915,622.95,144,15.311287614608052,67.99096611366838
2021-01-08T08:50:50Z,00:02:28,15.3113105,67.9909585,623.1,145,15.3113105,67.9909585,623.1,145,15.31129074724143,67.99096666406919
2021-01-08T08:50:51Z,NA,NA,NA,NA,NA,15.311315664999999,67.99095825,622.95,146,15.31129389879112,67.99096720543515
2021-01-08T08:50:52Z,00:02:30,15.31132083,67.990958,622.8,147,15.31132083,67.990958,622.8,147,15.311297071978865,67.99096773804752
2021-01-08T08:50:53Z,NA,NA,NA,NA,NA,15.31132622,67.99095766666667,622.6999999999999,148,15.311300270435249,67.99096826197412
2021-01-08T08:50:54Z,NA,NA,NA,NA,NA,15.31133161,67.99095733333333,622.6,149,15.311303497790854,67.99096877728284
2021-01-08T08:50:55Z,00:02:32,15.311337,67.990957,622.5,150,15.311337,67.990957,622.5,150,15.311306757676276,67.99096928404154
2021-01-08T08:50:56Z,00:02:34,15.311342,67.99096183,622.3,151,15.311342,67.99096183,622.3,151,15.311310053722092,67.99096978231809
2021-01-08T08:50:57Z,NA,NA,NA,NA,NA,15.31134125,67.990961165,622.0999999999999,152,15.311313389558908,67.99097027218032
2021-01-08T08:50:58Z,00:02:36,15.3113405,67.9909605,621.9,153,15.3113405,67.9909605,621.9,153,15.3113167688173,67.99097075369613
2021-01-08T08:50:59Z,NA,NA,NA,NA,NA,15.31133975,67.99096133500001,621.8,154,15.311320195127852,67.99097122693337
2021-01-08T08:51:00Z,00:02:38,15.311339,67.99096217,621.7,155,15.311339,67.99096217,621.7,155,15.311323672121153,67.990971691959885
2021-01-08T08:51:01Z,NA,NA,NA,NA,NA,15.311336915,67.99096542000001,621.7,156,15.311327203427803,67.99097214884355
2021-01-08T08:51:02Z,00:02:40,15.31133483,67.99096867,621.7,157,15.31133483,67.99096867,621.7,157,15.311330792881439,67.99097259736598
2021-01-08T08:51:03Z,NA,NA,NA,NA,NA,15.311330943333333,67.99097050333333,621.7333333333333,158,15.311334445127983,67.9909730361638
2021-01-08T08:51:04Z,NA,NA,NA,NA,NA,15.311327056666666,67.99097233666667,621.7666666666667,159,15.311338165016421,67.99097346358728
2021-01-08T08:51:05Z,00:02:41,15.31132317,67.99097417,621.8,160,15.31132317,67.99097417,621.8,160,15.311341957395722,67.99097387798685
2021-01-08T08:51:06Z,00:02:43,15.3113135,67.99097733,621.9,161,15.3113135,67.99097733,621.9,161,15.311345827114875,67.99097427771281
2021-01-08T08:51:07Z,NA,NA,NA,NA,NA,15.3113125,67.99098008,622,162,15.311349779022855,67.99097466111553
2021-01-08T08:51:08Z,00:02:45,15.3113115,67.99098283,622.1,163,15.3113115,67.99098283,622.1,163,15.311353817968646,67.99097502654533
2021-01-08T08:51:09Z,NA,NA,NA,NA,NA,15.311311915000001,67.99098508,622.1500000000001,164,15.311357948801227,67.99097537235258
2021-01-08T08:51:10Z,00:02:49,15.31131233,67.99098733,622.2,165,15.31131233,67.99098733,622.2,165,15.311362176369581,67.99097569688762
2021-01-08T08:51:11Z,NA,NA,NA,NA,NA,15.311318665,67.99098875,622.25,166,15.311366505522688,67.99097599850079
