datetime,videotime,lon,lat,depth,LON2,LAT2,depth_interpolated,videotime_interpolated,xsmoothed,ysmoothed
2022-03-01T10:50:56Z,00:03:45,15.27935533,68.029244,349.1,15.27935533,68.029244,349.1,225,15.279202712757494,68.02918313962236
2022-03-01T10:50:58Z,00:03:47,15.279164,68.0293115,349.5,15.279164,68.0293115,349.5,227,15.279237637395465,68.02921274200288
2022-03-01T10:51:00Z,00:03:47,15.279164,68.0293115,350.4,15.279164,68.0293115,350.4,227,15.27927235568395,68.02923570701441
2022-03-01T10:51:02Z,00:03:53,15.27932433,68.02927933,351.6,15.27932433,68.02927933,351.6,233,15.279307682979965,68.0292484546128
2022-03-01T10:51:04Z,00:03:55,15.2793245,68.02924883,351.1,15.2793245,68.02924883,351.1,235,15.279342615917773,68.02925236103954
2022-03-01T10:51:06Z,00:03:55,15.2793245,68.02924883,351,15.2793245,68.02924883,351,235,15.279375696450947,68.02925004160748
2022-03-01T10:51:08Z,00:03:58,15.27953617,68.029233,351.5,15.27953617,68.029233,351.5,238,15.279405466533042,68.02924411162952
2022-03-01T10:51:10Z,00:04:00,15.279328,68.02919683,349.3,15.279328,68.02919683,349.3,240,15.279430468117637,68.02923718641851
2022-03-01T10:51:12Z,00:04:02,15.2794675,68.02920683,348.2,15.2794675,68.02920683,348.2,242,15.279449208785774,68.02923140693399
2022-03-01T10:51:14Z,00:04:04,15.27948367,68.02921417,349.2,15.27948367,68.02921417,349.2,244,15.279460058628466,68.02922701672207
2022-03-01T10:51:16Z,00:04:06,15.27952117,68.029228,349.2,15.27952117,68.029228,349.2,246,15.279461353364193,68.02922378497563
2022-03-01T10:51:18Z,00:04:07,15.27945967,68.02922033,350.7,15.27945967,68.02922033,350.7,247,15.279451428711456,68.02922148088743
2022-03-01T10:51:20Z,00:04:09,15.27947067,68.0292195,349.9,15.27947067,68.0292195,349.9,249,15.27942956474004,68.02921985021653
2022-03-01T10:51:22Z,00:04:11,15.27945833,68.02921167,349.6,15.27945833,68.02921167,349.6,251,15.279398818924957,68.02921854498672
2022-03-01T10:51:24Z,00:04:13,15.27938417,68.02922833,350.8,15.27938417,68.02922833,350.8,253,15.279363193092516,68.02921719378807
2022-03-01T10:51:26Z,00:04:15,15.27937083,68.0292405,350.1,15.27937083,68.0292405,350.1,255,15.279326689069023,68.02921542521067
2022-03-01T10:51:28Z,00:04:19,15.27930417,68.02920417,350,15.27930417,68.02920417,350,259,15.279293062564694,68.02921300091892
2022-03-01T10:51:30Z,00:04:20,15.27917283,68.0292235,349.8,15.27917283,68.0292235,349.8,260,15.279265084825377,68.02921021487477
2022-03-01T10:51:32Z,00:04:22,15.27914633,68.029198,351,15.27914633,68.029198,351,262,15.27924528098082,68.02920749411453
2022-03-01T10:51:34Z,00:04:24,15.2791065,68.02919533,349.9,15.2791065,68.02919533,349.9,264,15.279236176160785,68.02920526567455
2022-03-01T10:51:36Z,00:04:24,15.2791065,68.02919533,350.7,15.2791065,68.02919533,350.7,264,15.279240295495008,68.02920395659115
2022-03-01T10:51:38Z,00:04:24,15.2791065,68.02919533,349.4,15.2791065,68.02919533,349.4,264,15.27925833455014,68.02920384669
2022-03-01T10:51:40Z,00:04:30,15.27947283,68.02920683,349.8,15.27947283,68.02920683,349.8,270,15.279283670640371,68.02920462695437
2022-03-01T10:51:42Z,00:04:32,15.27946317,68.02920533,349.4,15.27946317,68.02920533,349.4,272,15.27930785151678,68.0292058411569
2022-03-01T10:51:44Z,00:04:32,15.27946317,68.02920533,350.1,15.27946317,68.02920533,350.1,272,15.279322424930456,68.02920703307016
2022-03-01T10:51:46Z,00:04:32,15.27946317,68.02920533,349.5,15.27946317,68.02920533,349.5,272,15.279321323385453,68.02920780628268
2022-03-01T10:51:48Z,00:04:37,15.27927867,68.0292295,349.4,15.27927867,68.0292295,349.4,277,15.279308018397762,68.02920800364622
2022-03-01T10:51:50Z,00:04:39,15.279164,68.0292155,349.7,15.279164,68.0292155,349.7,279,15.27928836623635,68.02920752782835
2022-03-01T10:51:52Z,00:04:41,15.27923767,68.02920417,350.4,15.27923767,68.02920417,350.4,281,15.27926822317019,68.02920628149666
