X,Y,laser_frames,width,height,datetime,videotime,lon,lat,depth,elapsed_seconds,LON2,LAT2,depth_interpolated,videotime_interpolated,distance_3d,distance_travelled,bin
513181.25376456295,7541811.7075625,NA,4.018274748132077,2.2602795458242935,2021-01-08T09:11:16Z,NA,NA,NA,NA,NA,15.315173415,67.9902575,620.95,1371,0.22648857594188343,484.3940964422556,"(400,500]"
513181.0892755152,7541811.855008845,NA,3.901532338117339,2.1946119401910034,2021-01-08T09:11:17Z,00:22:54,15.3151695,67.99025883,621,1372,15.3151695,67.99025883,621,1372,0.2264885684772593,484.6205850107328,"(400,500]"
513180.4975303888,7541811.722102127,NA,3.784789928102602,2.1289443345577137,2021-01-08T09:11:18Z,NA,NA,NA,NA,NA,15.315155335,67.990257665,621.25,1373,0.6559927517646157,485.2765777624975,"(400,500]"
513179.9057852022,7541811.589195549,NA,3.668047518087864,2.0632767289244236,2021-01-08T09:11:19Z,00:22:56,15.31514117,67.9902565,621.5,1374,15.31514117,67.9902565,621.5,1374,0.6559927775120545,485.9325705400095,"(400,500]"
513179.82491857465,7541811.700275826,NA,3.5513051080731266,1.9976091232911335,2021-01-08T09:11:20Z,NA,NA,NA,NA,NA,15.31513925,67.9902575,621.6,1375,0.16993598601825674,486.1025065260278,"(400,500]"
513179.7440519542,7541811.811356108,NA,3.4345626980583885,1.9319415176578436,2021-01-08T09:11:21Z,00:22:58,15.31513733,67.9902585,621.7,1376,15.31513733,67.9902585,621.7,1376,0.16993598568281806,486.2724425117106,"(400,500]"
513179.2441820608,7541812.812241011,NA,3.317820288043651,1.8662739120245535,2021-01-08T09:11:22Z,00:22:59,15.3151255,67.9902675,621.7,1377,15.3151255,67.9902675,621.7,1377,1.118767402338405,487.391209914049,"(400,500]"
513178.70291519235,7541813.032466352,NA,3.2010778780289133,1.8006063063912636,2021-01-08T09:11:23Z,NA,NA,NA,NA,NA,15.315112585,67.99026950000001,621.8,1378,0.5928482298085851,487.9840581438576,"(400,500]"
513178.16164841654,7541813.252691805,NA,3.0843354680141752,1.7349387007579735,2021-01-08T09:11:24Z,00:23:01,15.31509967,67.9902715,621.9,1379,15.31509967,67.9902715,621.9,1379,0.5928481870655433,488.5769063309231,"(400,500]"
513177.7945901757,7541812.786267562,[1380.450387],2.9675930579994376,1.6692710951246836,2021-01-08T09:11:25Z,NA,NA,NA,NA,NA,15.315090836666666,67.99026733333334,621.9,1380,0.5935346048342568,489.17044093575737,"(400,500]"
513177.42753180186,7541812.319843372,NA,2.9997468960685074,1.6873576290385357,2021-01-08T09:11:26Z,NA,NA,NA,NA,NA,15.315082003333334,67.99026316666667,621.9,1381,0.5935346446033631,489.7639755803607,"(400,500]"
513177.06047329487,7541811.853419233,NA,3.031900734137577,1.705444162952387,2021-01-08T09:11:27Z,00:23:05,15.31507317,67.990259,621.9,1382,15.31507317,67.990259,621.9,1382,0.593534687443978,490.35751026780474,"(400,500]"
513176.2558114083,7541812.425176466,NA,3.0640545722066475,1.7235306968662392,2021-01-08T09:11:28Z,NA,NA,NA,NA,NA,15.315054,67.990264165,621.9,1383,0.9871104725201036,491.3446207403248,"(400,500]"
513175.45114987786,7541812.99693395,NA,3.0962084102757172,1.741617230780091,2021-01-08T09:11:29Z,00:23:07,15.31503483,67.99026933,621.9,1384,15.31503483,67.99026933,621.9,1384,0.987110327829023,492.3317310681539,"(400,500]"
513175.6880413515,7541813.044968483,NA,3.128362248344787,1.7597037646939429,2021-01-08T09:11:30Z,NA,NA,NA,NA,NA,15.3150405,67.99026975000001,621.9,1385,0.24171240480888276,492.5734434729628,"(400,500]"
513175.9249328166,7541813.093003038,NA,3.160516086413857,1.7777902986077945,2021-01-08T09:11:31Z,00:23:09,15.31504617,67.99027017,621.9,1386,15.31504617,67.99027017,621.9,1386,0.24171240086488852,492.8151558738276,"(400,500]"
513175.9933331996,7541812.637904251,NA,3.192669924482926,1.7958768325216463,2021-01-08T09:11:32Z,NA,NA,NA,NA,NA,15.315047750000002,67.990266085,621.9,1387,0.4602102982512271,493.27536617207886,"(400,500]"
513176.0617336057,7541812.1828054655,NA,3.224823762551997,1.8139633664354984,2021-01-08T09:11:33Z,00:23:11,15.31504933,67.990262,621.9,1388,15.31504933,67.990262,621.9,1388,0.4602102998438446,493.7355764719227,"(400,500]"
513175.0197832309,7541811.471745367,NA,3.2569776006210667,1.83204990034935,2021-01-08T09:11:34Z,00:23:12,15.31502433,67.99025567,621.9,1389,15.31502433,67.99025567,621.9,1389,1.2614543380593712,494.9970308099821,"(400,500]"
513174.3663476446,7541811.133936568,[1390.062618],3.2891314386901365,1.8501364342632016,2021-01-08T09:11:35Z,NA,NA,NA,NA,NA,15.315008665,67.99025266999999,621.8499999999999,1390,0.7372874949020822,495.73431830488414,"(400,500]"
513173.7129118878,7541810.796127939,NA,3.219745689796927,1.8111069505107715,2021-01-08T09:11:36Z,00:23:14,15.314993,67.99024967,621.8,1391,15.314993,67.99024967,621.8,1391,0.7372875683409772,496.47160587322514,"(400,500]"
513173.63815756113,7541810.405522635,NA,3.1503599409037175,1.7720774667583412,2021-01-08T09:11:37Z,NA,NA,NA,NA,NA,15.314991165,67.99024617,621.8,1392,0.39769424492310845,496.86930011814826,"(400,500]"
513173.5634032112,7541810.014917328,NA,3.0809741920105083,1.7330479830059111,2021-01-08T09:11:38Z,00:23:16,15.31498933,67.99024267,621.8,1393,15.31498933,67.99024267,621.8,1393,0.3976942529584981,497.2669943711067,"(400,500]"
513173.31730604125,7541809.995080879,NA,3.011588443117299,1.6940184992534808,2021-01-08T09:11:39Z,NA,NA,NA,NA,NA,15.314983443333333,67.99024250333333,621.8666666666667,1394,0.2557376511288862,497.5227320222356,"(400,500]"
513173.0712088677,7541809.97524445,NA,2.9422026942240898,1.6549890155010505,2021-01-08T09:11:40Z,NA,NA,NA,NA,NA,15.314977556666667,67.99024233666667,621.9333333333333,1395,0.25573765301244,497.77846967524806,"(400,500]"
513172.8251116903,7541809.955408048,NA,2.87281694533088,1.6159595317486202,2021-01-08T09:11:41Z,00:23:18,15.31497167,67.99024217,622,1396,15.31497167,67.99024217,622,1396,0.25573765468667775,498.0342073299347,"(400,500]"
513172.4372152811,7541809.460633566,NA,2.803431196437671,1.57693004799619,2021-01-08T09:11:42Z,NA,NA,NA,NA,NA,15.314962335,67.99023775,622.1,1397,0.636604596684152,498.6708119266189,"(400,500]"
513172.0493187226,7541808.965859139,NA,2.734045447544461,1.5379005642437598,2021-01-08T09:11:43Z,00:23:20,15.314953,67.99023333,622.2,1398,15.314953,67.99023333,622.2,1398,0.6366046442274701,499.3074165708464,"(400,500]"
513171.6130781698,7541809.094082322,NA,2.664659698651252,1.4988710804913294,2021-01-08T09:11:44Z,NA,NA,NA,NA,NA,15.314942585,67.9902345,622.3,1399,0.46556095678119097,499.7729775276276,"(400,500]"
513171.1768376608,7541809.22230558,[1400.613279],2.5952739497580426,1.4598415967388991,2021-01-08T09:11:45Z,00:23:22,15.31493217,67.99023567,622.4,1400,15.31493217,67.99023567,622.4,1400,0.46556093654240616,500.2385384641699,"(500,600]"
513171.0215528562,7541809.574388483,NA,2.639962181172401,1.4849787269094756,2021-01-08T09:11:46Z,NA,NA,NA,NA,NA,15.3149285,67.990238835,622.3499999999999,1401,0.3880409009542978,500.62657936512426,"(500,600]"
