X,Y,laser_frames,width,height,datetime,videotime,lon,lat,depth,elapsed_seconds,LON2,LAT2,depth_interpolated,videotime_interpolated,xsmoothed,ysmoothed,distance_3d,distance_travelled,bin
511855.3363934464,7544253.778145198,NA,3.4962073669951423,1.9666166439347676,2021-01-06T11:58:21Z,NA,NA,NA,NA,NA,15.283733165,68.01222082999999,625.25,555,15.283738379768929,68.01221855552681,0.30953926569288226,126.53141427633513,"(100,150]"
511855.18109326606,7544253.99711871,NA,3.5403371891854034,1.9914396689167897,2021-01-06T11:58:22Z,00:09:16,15.2837285,68.01222233,625.1,556,15.2837285,68.01222233,625.1,556,15.283734687030782,68.0122205259408,0.30751836515231146,126.83893264148745,"(100,150]"
511855.0256550384,7544254.21287261,NA,3.584467011375664,2.016262693898811,2021-01-06T11:58:23Z,NA,NA,NA,NA,NA,15.28371975,68.01222491499999,625.25,557,15.283730990634286,68.01222246748304,0.30530441914177214,127.1442370606292,"(100,150]"
511854.8704594792,7544254.425378731,NA,3.628596833565925,2.041085718880833,2021-01-06T11:58:24Z,00:09:20,15.283711,68.0122275,625.4,558,15.283711,68.0122275,625.4,558,15.283727299688048,68.01222437988524,0.30289356719863664,127.44713062782785,"(100,150]"
511854.7158873051,7544254.634608911,NA,3.6727266557561857,2.0659087438628547,2021-01-06T11:58:25Z,NA,NA,NA,NA,NA,15.283707,68.012229085,625.45,559,15.283723623300682,68.01222626287908,0.26489587613796173,127.71202650396582,"(100,150]"
511854.5622895251,7544254.840543599,[560.632917],3.716856477946447,2.0907317688448765,2021-01-06T11:58:26Z,00:09:22,15.283703,68.01223067,625.5,560,15.283703,68.01223067,625.5,560,15.283719969870775,68.0122281162748,0.2617276705615589,127.97375417452736,"(100,150]"
511854.40989832266,7544255.043197681,NA,3.7542524123259406,2.111766981933342,2021-01-06T11:58:27Z,NA,NA,NA,NA,NA,15.283695585,68.01223142,625.6,561,15.283716344956838,68.0122299401963,0.27256514023342315,128.2463193147608,"(100,150]"
511854.25891617464,7544255.242594663,NA,3.7916483467054345,2.132802195021807,2021-01-06T11:58:28Z,00:09:24,15.28368817,68.01223217,625.7,562,15.28368817,68.01223217,625.7,562,15.28371275340736,68.0122317348461,0.26935991794046754,128.51567923270125,"(100,150]"
511854.1095455579,7544255.438758036,NA,3.829044281084929,2.1538374081102725,2021-01-06T11:58:29Z,NA,NA,NA,NA,NA,15.283684585,68.01223342,625.6,563,15.283709200070827,68.01223350042659,0.2660670030028715,128.78174623570413,"(100,150]"
511853.9619889492,7544255.63171131,NA,3.866440215464422,2.174872621198738,2021-01-06T11:58:30Z,00:09:25,15.283681,68.01223467,625.5,564,15.283681,68.01223467,625.5,564,15.283705689795736,68.01223523714025,0.2626859695012328,129.04443220520537,"(100,150]"
511853.8164488253,7544255.821477979,NA,3.903836149843917,2.195907834287203,2021-01-06T11:58:31Z,NA,NA,NA,NA,NA,15.283679335,68.01223691999999,625.45,565,15.28370222743057,68.01223694518949,0.2443221566766863,129.28875436188204,"(100,150]"
511853.67312766274,7544256.008081544,NA,3.9412320842234103,2.2169430473756684,2021-01-06T11:58:32Z,00:09:27,15.28367767,68.01223917,625.4,566,15.28367767,68.01223917,625.4,566,15.28369881782382,68.01223862477677,0.2405448946696428,129.5292992565517,"(100,150]"
511853.5322279381,7544256.191545507,NA,3.978628018602904,2.237978260464134,2021-01-06T11:58:33Z,NA,NA,NA,NA,NA,15.283675835,68.012241835,625.4,567,15.283695465823978,68.01224027610454,0.2313260859152804,129.76062534246697,"(100,150]"
511853.3939521283,7544256.371893367,NA,4.0160239529823984,2.2590134735525993,2021-01-06T11:58:34Z,00:09:29,15.283674,68.0122445,625.4,568,15.283674,68.0122445,625.4,568,15.28369217627953,68.0122418993752,0.22725657336358063,129.98788191583054,"(100,150]"
511853.25850270974,7544256.549148621,NA,4.053419887361892,2.2800486866410643,2021-01-06T11:58:35Z,NA,NA,NA,NA,NA,15.283671415,68.012246165,625.4,569,15.28368895403897,68.01224349479122,0.22308287730111373,130.21096479313167,"(100,150]"
511853.126082159,7544256.723334771,[570.34262],4.090815821741386,2.3010838997295298,2021-01-06T11:58:36Z,00:09:31,15.28366883,68.01224783,625.4,570,15.28366883,68.01224783,625.4,570,15.283685803950783,68.01224506255504,0.21880588880368868,130.42977068193537,"(100,150]"
511852.99686303537,7544256.894482047,NA,4.079951156364017,2.2949725254547597,2021-01-06T11:58:37Z,NA,NA,NA,NA,NA,15.28366725,68.012249,625.45,571,15.28368273014819,68.01224660293069,0.22020211673599005,130.64997279867134,"(100,150]"
511852.8708982291,7544257.062647594,NA,4.069086490986648,2.2888611511799897,2021-01-06T11:58:38Z,00:09:33,15.28366567,68.01225017,625.5,572,15.28366567,68.01225017,625.5,572,15.283679733903323,68.01224811642854,0.2159786645848344,130.86595146325618,"(100,150]"
511852.748210714,7544257.22789529,NA,4.058221825609279,2.2827497769052196,2021-01-06T11:58:39Z,NA,NA,NA,NA,NA,15.28366575,68.01225149999999,625.5,573,15.283676815773058,68.01224960362059,0.2058130881097781,131.07176455136596,"(100,150]"
511852.62882346305,7544257.390289004,NA,4.04735716023191,2.2766384026304496,2021-01-06T11:58:40Z,00:09:35,15.28366583,68.01225283,625.5,574,15.28366583,68.01225283,625.5,574,15.283673976314248,68.01225106507876,0.20155652839862204,131.27332107976457,"(100,150]"
511852.51275944937,7544257.549892616,NA,4.036492494854541,2.2705270283556795,2021-01-06T11:58:41Z,NA,NA,NA,NA,NA,15.283659665,68.012254165,625.5,575,15.28367121608376,68.01225250137503,0.19734276879037127,131.47066384855495,"(100,150]"
511852.40004164656,7544257.706769999,NA,4.025627829477172,2.2644156540809095,2021-01-06T11:58:42Z,00:09:37,15.2836535,68.0122555,625.5,576,15.2836535,68.0122555,625.5,576,15.28366853563846,68.01225391308137,0.1931730215643085,131.66383687011927,"(100,150]"
511852.29069302784,7544257.860985029,NA,4.014763164099803,2.2583042798061395,2021-01-06T11:58:43Z,NA,NA,NA,NA,NA,15.2836555,68.012256665,625.5,577,15.283665935535211,68.01225530076977,0.1890486596636759,131.85288552978292,"(100,150]"
511852.18473656714,7544258.012601579,NA,4.003898498722434,2.2521929055313694,2021-01-06T11:58:44Z,00:09:38,15.2836575,68.01225783,625.5,578,15.2836575,68.01225783,625.5,578,15.283663416330889,68.01225666501213,0.1849712134712413,132.03785674325417,"(100,150]"
511852.0821952375,7544258.161683526,NA,3.993033833345066,2.2460815312565994,2021-01-06T11:58:45Z,NA,NA,NA,NA,NA,15.283659415,68.01225933,625.55,579,15.283660978582349,68.0122580063805,0.1877236034378783,132.22558034669206,"(100,150]"
511851.98309201247,7544258.3082947405,[580.960986],3.982169167967697,2.2399701569818293,2021-01-06T11:58:46Z,00:09:40,15.28366133,68.01226083,625.6,580,15.28366133,68.01226083,625.6,580,15.283658622846456,68.01225932544678,0.18389208102987184,132.40947242772194,"(100,150]"
511851.8874498652,7544258.452499107,NA,3.982169167967697,2.2399701569818293,2021-01-06T11:58:47Z,NA,NA,NA,NA,NA,15.283662665,68.012263665,625.55,581,15.283656349680072,68.01226062278297,0.18011751582645574,132.5895899435484,"(100,150]"
